frances,español
abandonner,abandonar
accepter,aceptar
accompagner,acompañar
acheter,comprar
adorer,adorar
agir,actuar
aider,ayudar
aimer,gustar
ajouter,añadir
aller,ir
amener,traer
amuser,divertir
annoncer,anunciar
apercevoir,percibir
apparaître,aparecer
appeler,llamar
apporter,traer
apprendre,aprender
approcher,acercarse
arranger,arreglar
arrêter,parar
arriver,llegar
asseoir,sentarse
assurer,asegurar
attaquer,atacar
atteindre,alcanzar
attendre,esperar
avancer,avanzar
avoir,tener
baisser,bajar
battre,golpear
boire,beber
bouger,mover
brûler,quemar
cacher,esconder
calmer,calmar
casser,romper
cesser,parar
changer,cambiar
chanter,cantar
charger,cargar
chercher,buscar
choisir,elegir
commencer,empezar
comprendre,entender
compter,contar
conduire,conducir
connaître,conocer
continuer,continuar
coucher,dormir
couper,cortar
courir,correr
couvrir,cubrir
craindre,tener miedo
crier,gritar
croire,creer
danser,bailar
décider,decidir
découvrir,descubrir
dégager,despejar
demander,preguntar
descendre,bajar
désoler,entristecer
détester,odiar
détruire,destruir
devenir,convertirse en
deviner,adivinar
devoir,deber
dire,decir
disparaître,desaparecer
donner,dar
dormir,dormir
échapper,escapar
écouter,escuchar
écrire,escribir
éloigner,alejar
embrasser,besar
emmener,llevar
empêcher,impedir
emporter,llevar
enlever,quitar
entendre,oír
entrer,entrar
envoyer,enviar
espérer,esperar
essayer,intentar
être,ser
éviter,evitar
excuser,perdonar
exister,existir
expliquer,explicar
faire,hacer
falloir,hacer falta
fermer,cerrar
filer,dar (coloquial)
finir,acabar
foutre,hacer (muy coloquial)
frapper,golpear
gagner,ganar
garder,guardar
glisser,resbalar
habiter,vivir
ignorer,ignorar
imaginer,imaginar
importer,importar
inquiéter,preocupar
installer,instalar
intéresser,interesar
inviter,invitar
jeter,tirar
jouer,jugar
jurer,jurar
lâcher,soltar
laisser,dejar
lancer,tirar
lever,levantar
lire,leer
maintenir,mantener
manger,comer
manquer,faltar
marcher,caminar
marier,casar
mener,mandar
mentir,mentir
mettre,poner
monter,subir
montrer,mostrar
mourir,morir
naître,nacer
obliger,obligar
occuper,ocupar
offrir,regalar
oser,atreverse
oublier,olvidar
ouvrir,abrir
paraître,parecer
parler,hablar
partir,marcharse
passer,pasar
payer,pagar
penser,pensar
perdre,perder
permettre,permitir
plaire,gustarle a alguien
pleurer,llorar
porter,llevar algo
poser,colocar
pousser,empujar
pouvoir,poder
préférer,preferir
prendre,tomar
préparer,preparar
présenter,presentar
prévenir,avisar
prier,rezar
promettre,prometer
proposer,ofrecer algo
protéger,proteger
quitter,dejar
raconter,contar
ramener,volver a llevar
rappeler,volver a llamar
recevoir,recibir
reconnaître,reconocer
réfléchir,pensar
refuser,rechazar
regarder,mirar
rejoindre,reunirse
remarquer,notar
remettre,devolver
remonter,volver a subir
rencontrer,encontrar
rendre,devolver
rentrer,volver
répéter,repetir
répondre,contestar
reposer,descansar
reprendre,volver a servirse
ressembler,parecer a
rester,quedarse
retenir,memorizar
retirer,quitar
retourner,voltear
retrouver,volver a encontrar
réussir,tener éxito
réveiller,despertar
revenir,volver
rêver,soñar
revoir,ver de nuevo
rire,réir
risquer,arriesgar
rouler,rodar
sauter,saltar
sauver,salvar
savoir,saber
sembler,parecer
sentir,sentir
séparer,separar
serrer,apretar
servir,servir
sortir,salir
souffrir,sufrir
sourire,sonreir
souvenir,acordarse
suffire,ser suficiente
suivre,seguir
taire,callar
tendre,extender
tenir,sostener
tenter,intentar
terminer,terminar
tirer,tirar
tomber,caer
toucher,tocar
tourner,girar
traîner,arrastrar
traiter,tratar
travailler,trabajar
traverser,atravesar
tromper,engañar
trouver,encontrar
tuer,matar
utiliser,utilizar
valoir,valer
vendre,vender
venir,venir
vivre,vivir
voir,ver
voler,volar
vouloir,querer
